start;end;orbit;sector;spacecraft_boresight_elat;spacecraft_boresight_elon;spacecraft_eroll;cam4_elat;cam4_elon;cam3_elat;cam3_elon;cam2_elat;cam2_elon;cam1_elat;cam1_elon;comment
2021-02-27;2021-03-13;79;36;-78;232.7;0;-66;52.7;-90;232.7;-66;232.7;-42;232.7;
2021-03-13;2021-03-27;80;36;-78;232.7;0;-66;52.7;-90;232.7;-66;232.7;-42;232.7;
2021-03-27;2021-04-09;81;37;-78;260.4;0;-66;80.4;-90;260.4;-66;260.4;-42;260.4;
2021-04-09;2021-04-23;82;37;-78;260.4;0;-66;80.4;-90;260.4;-66;260.4;-42;260.4;
2021-04-23;2021-05-07;83;38;-78;288.1;0;-66;108.1;-90;288.1;-66;288.1;-42;288.1;
2021-05-07;2021-05-20;84;38;-78;288.1;0;-66;108.1;-90;288.1;-66;288.1;-42;288.1;
2021-05-20;2021-06-03;85;39;78;315.8;0;66;135.8;90;315.8;66;315.8;42;315.8;Switch north.
2021-06-03;2021-06-17;86;39;78;315.8;0;66;135.8;90;315.8;66;315.8;42;315.8;
2021-06-17;2021-06-30;87;40;78;343.5;0;66;163.5;90;343.5;66;343.5;42;343.5;
2021-06-30;2021-07-14;88;40;78;343.5;0;66;163.5;90;343.5;66;343.5;42;343.5;
2021-07-14;2021-07-28;89;41;78;11.2;0;66;191.2;90;11.2;66;11.2;42;11.2;
2021-07-28;2021-08-10;90;41;78;11.2;0;66;191.2;90;11.2;66;11.2;42;11.2;
2021-08-10;2021-08-24;91;42;78;38.9;0;66;218.9;90;38.9;66;38.9;42;38.9;
2021-08-24;2021-09-07;92;42;78;38.9;0;66;218.9;90;38.9;66;38.9;42;38.9;
2021-09-07;2021-09-20;93;43;-78;94.3;0;-66;274.3;-90;94.3;-66;94.3;-42;94.3;Switch south.
2021-09-20;2021-10-04;94;43;-78;94.3;0;-66;274.3;-90;94.3;-66;94.3;-42;94.3;
2021-10-04;2021-10-18;95;44;-78;122;0;-66;302;-90;122;-66;122;-42;122;
2021-10-18;2021-10-31;96;44;-78;122;0;-66;302;-90;122;-66;122;-42;122;
2021-10-31;2021-11-14;97;45;-78;149.6;0;-66;329.6;-90;149.6;-66;149.6;-42;149.6;
2021-11-14;2021-11-28;98;45;-78;149.6;0;-66;329.6;-90;149.6;-66;149.6;-42;149.6;
2021-11-28;2021-12-11;99;46;-78;177.3;0;-66;357.3;-90;177.3;-66;177.3;-42;177.3;
2021-12-11;2021-12-25;100;46;-78;177.3;0;-66;357.3;-90;177.3;-66;177.3;-42;177.3;
2021-12-25;2022-01-08;101;47;78;205;0;66;25;90;205;66;205;42;205;Switch north.
2022-01-08;2022-01-21;102;47;78;205;0;66;25;90;205;66;205;42;205;
2022-01-21;2022-02-04;103;48;78;232.7;0;66;52.7;90;232.7;66;232.7;42;232.7;
2022-02-04;2022-02-18;104;48;78;232.7;0;66;52.7;90;232.7;66;232.7;42;232.7;
2022-02-18;2022-03-03;105;49;78;260.4;0;66;80.4;90;260.4;66;260.4;42;260.4;
2022-03-03;2022-03-17;106;49;78;260.4;0;66;80.4;90;260.4;66;260.4;42;260.4;
2022-03-17;2022-03-31;107;50;78;288.1;0;66;108.1;90;288.1;66;288.1;42;288.1;
2022-03-31;2022-04-13;108;50;78;288.1;0;66;108.1;90;288.1;66;288.1;42;288.1;
2022-04-13;2022-04-27;109;51;-78;343.5;0;-66;163.5;-90;343.5;-66;343.5;-42;343.5;Switch south.
2022-04-27;2022-05-11;110;51;-78;343.5;0;-66;163.5;-90;343.5;-66;343.5;-42;343.5;
2022-05-11;2022-05-24;111;52;-78;11.2;0;-66;191.2;-90;11.2;-66;11.2;-42;11.2;
2022-05-24;2022-06-07;112;52;-78;11.2;0;-66;191.2;-90;11.2;-66;11.2;-42;11.2;
2022-06-07;2022-06-20;113;53;-78;38.9;0;-66;218.9;-90;38.9;-66;38.9;-42;38.9;
2022-06-20;2022-07-04;114;53;-78;38.9;0;-66;218.9;-90;38.9;-66;38.9;-42;38.9;
2022-07-04;2022-07-18;115;54;-78;66.6;0;-66;246.6;-90;66.6;-66;66.6;-42;66.6;
2022-07-18;2022-07-31;116;54;-78;66.6;0;-66;246.6;-90;66.6;-66;66.6;-42;66.6;
2022-07-31;2022-08-14;117;55;78;94.3;0;66;274.3;90;94.3;66;94.3;42;94.3;Switch north.
2022-08-14;2022-08-28;118;55;78;94.3;0;66;274.3;90;94.3;66;94.3;42;94.3;
2022-08-28;2022-09-10;119;56;78;122;0;66;302;90;122;66;122;42;122;
2022-09-10;2022-09-24;120;56;78;122;0;66;302;90;122;66;122;42;122;
2022-09-24;2022-10-08;121;57;78;149.6;0;66;329.6;90;149.6;66;149.6;42;149.6;end FY2022 is Sep 30, 2022. orbit 113 is last orbit of ExtMission1.
2022-10-08;2022-10-21;122;57;78;149.6;0;66;329.6;90;149.6;66;149.6;42;149.6;
